segment_type,segment,n_rows,positive_rate,pr_auc_model,pr_auc_baseline,pr_auc_lift
origin,ORD,310089,0.2476,0.4874,0.2476,0.2398
origin,DEN,303113,0.2543,0.538,0.2543,0.2837
origin,ATL,298980,0.2336,0.4824,0.2336,0.2488
origin,DFW,295885,0.2842,0.5193,0.2842,0.2351
origin,PHX,187980,0.2093,0.4017,0.2093,0.1924
origin,CLT,185564,0.2385,0.4941,0.2385,0.2556
origin,LAX,181505,0.1801,0.3426,0.1801,0.1625
origin,LAS,175268,0.2316,0.432,0.2316,0.2003
origin,SEA,156839,0.2114,0.3993,0.2114,0.1878
origin,MCO,153060,0.2423,0.5301,0.2423,0.2878
origin,SFO,137593,0.1882,0.3855,0.1882,0.1973
origin,BOS,135976,0.2265,0.518,0.2265,0.2915
origin,DCA,132549,0.2536,0.5241,0.2536,0.2704
origin,LGA,127331,0.2212,0.5169,0.2212,0.2957
origin,DTW,117088,0.1957,0.4067,0.1957,0.211
origin,EWR,113347,0.2211,0.5062,0.2211,0.285
origin,IAH,111611,0.2269,0.4807,0.2269,0.2537
origin,SLC,111315,0.1542,0.3678,0.1542,0.2137
origin,MSP,108055,0.1873,0.411,0.1873,0.2237
origin,MIA,106471,0.2498,0.5088,0.2498,0.259
origin,BNA,100438,0.2419,0.5056,0.2419,0.2637
origin,JFK,99224,0.2093,0.4734,0.2093,0.2641
origin,PHL,92581,0.2364,0.4909,0.2364,0.2545
origin,SAN,92028,0.2261,0.4299,0.2261,0.2038
origin,BWI,91722,0.2546,0.5374,0.2546,0.2827
origin,FLL,83550,0.2459,0.5007,0.2459,0.2549
origin,AUS,83056,0.2324,0.4911,0.2324,0.2587
origin,TPA,75933,0.2158,0.4974,0.2158,0.2816
origin,MDW,70633,0.2414,0.5173,0.2414,0.2759
origin,DAL,67897,0.2698,0.531,0.2698,0.2612
origin,STL,61112,0.2246,0.4816,0.2246,0.257
origin,PDX,58353,0.1585,0.338,0.1585,0.1795
origin,SMF,55385,0.1801,0.3799,0.1801,0.1997
origin,IAD,54982,0.1765,0.4128,0.1765,0.2363
origin,RDU,52738,0.198,0.435,0.198,0.237
origin,MSY,48568,0.2212,0.4546,0.2212,0.2334
origin,MCI,45935,0.1963,0.4368,0.1963,0.2405
origin,IND,45095,0.1773,0.4017,0.1773,0.2244
origin,SJC,43959,0.1667,0.384,0.1667,0.2172
origin,CMH,42363,0.188,0.4097,0.188,0.2217
origin,PIT,41234,0.1705,0.414,0.1705,0.2435
origin,SAT,39968,0.1772,0.39,0.1772,0.2129
origin,CLE,37975,0.1808,0.393,0.1808,0.2122
origin,OAK,33047,0.1974,0.4229,0.1974,0.2254
year_month,2025-07,438651,0.2983,0.5996,0.2983,0.3013
year_month,2025-10,437926,0.2046,0.4387,0.2046,0.2342
year_month,2025-05,434543,0.2363,0.4993,0.2363,0.263
year_month,2025-06,429767,0.2862,0.5704,0.2862,0.2842
year_month,2025-08,428812,0.2361,0.506,0.2361,0.27
year_month,2025-03,427402,0.1898,0.3834,0.1898,0.1937
year_month,2025-04,419872,0.1935,0.4074,0.1935,0.2139
year_month,2025-12,411874,0.2773,0.515,0.2773,0.2377
year_month,2025-09,405618,0.1768,0.3908,0.1768,0.214
year_month,2025-11,399385,0.1975,0.4086,0.1975,0.2111
year_month,2025-01,377500,0.1867,0.363,0.1867,0.1763
year_month,2025-02,356045,0.2024,0.4022,0.2024,0.1998
wind_bucket,light,2324480,0.2346,0.4546,0.2346,0.22
wind_bucket,calm,2117564,0.207,0.4933,0.207,0.2863
wind_bucket,unknown,380661,0.2508,0.4407,0.2508,0.1899
wind_bucket,moderate,141693,0.2596,0.4718,0.2596,0.2122
precip_bucket,none,4808815,0.2213,0.4607,0.2213,0.2395
precip_bucket,light,144943,0.3201,0.6097,0.3201,0.2895
precip_bucket,moderate,11135,0.4527,0.7119,0.4527,0.2592
