airport_code,timezone
ATL,America/New_York
LAX,America/Los_Angeles
ORD,America/Chicago
DFW,America/Chicago
DEN,America/Denver
JFK,America/New_York
SFO,America/Los_Angeles
SEA,America/Los_Angeles
LAS,America/Los_Angeles
MCO,America/New_York
CLT,America/New_York
EWR,America/New_York
PHX,America/Phoenix
IAH,America/Chicago
MIA,America/New_York
BOS,America/New_York
MSP,America/Chicago
FLL,America/New_York
DTW,America/Detroit
PHL,America/New_York
LGA,America/New_York
BWI,America/New_York
SLC,America/Denver
SAN,America/Los_Angeles
IAD,America/New_York
DCA,America/New_York
MDW,America/Chicago
TPA,America/New_York
HNL,Pacific/Honolulu
PDX,America/Los_Angeles
DAL,America/Chicago
AUS,America/Chicago
BNA,America/Chicago
STL,America/Chicago
RDU,America/New_York
SMF,America/Los_Angeles
SJC,America/Los_Angeles
OAK,America/Los_Angeles
MSY,America/Chicago
SAT,America/Chicago
CLE,America/New_York
PIT,America/New_York
IND,America/Indiana/Indianapolis
CMH,America/New_York
MCI,America/Chicago
